epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8639,2.58016,5.68785,1.69664,8e-05,0.01835,1e-05,0,1.51764,4.99034,0.96386,0.00014,0.00014,0.00014
2,51.5083,1.45651,4.11596,0.98688,0.00853,0.36706,0.08126,0.03564,1.28998,4.69236,0.91376,0.000289043,0.000289043,0.000289043
3,76.2963,1.30608,3.34572,0.942,0.00423,0.33452,0.02997,0.0067,1.25664,4.51058,0.91571,0.000437096,0.000437096,0.000437096
4,100.774,1.35406,2.76888,0.95967,0.00218,0.24692,0.09847,0.05859,1.15901,4.37584,0.90069,0.000584159,0.000584159,0.000584159
5,125.071,1.25078,2.41595,0.96817,0.00954,0.57331,0.26207,0.15501,1.178,4.07745,0.91151,0.000730232,0.000730232,0.000730232
6,149.484,1.17939,2.16407,0.93152,0.97845,0.09553,0.55321,0.34125,1.13723,3.67856,0.9033,0.000875315,0.000875315,0.000875315
7,173.801,1.19709,2.04233,0.96473,0.96888,0.27283,0.83479,0.53286,1.08843,3.05985,0.893,0.0009802,0.0009802,0.0009802
8,198.405,1.17257,1.83097,0.9303,0.93919,0.31558,0.92141,0.64387,1.09315,2.82447,0.90131,0.0009769,0.0009769,0.0009769
9,222.661,1.10528,1.68467,0.9205,0.78471,0.74714,0.92142,0.66646,1.0547,2.1483,0.89671,0.0009736,0.0009736,0.0009736
10,246.981,1.09926,1.61222,0.90652,0.79667,0.77559,0.92003,0.64774,1.05533,1.75702,0.89767,0.0009703,0.0009703,0.0009703
11,271.348,1.06353,1.55279,0.91457,0.87443,0.9032,0.95843,0.67556,1.02631,1.64604,0.88652,0.000967,0.000967,0.000967
12,295.187,1.09809,1.47693,0.91567,0.82625,0.95321,0.92995,0.64543,1.09635,1.53671,0.90986,0.0009637,0.0009637,0.0009637
13,319.749,1.06996,1.5289,0.89813,0.87584,0.93332,0.9437,0.68026,1.04119,1.41871,0.89512,0.0009604,0.0009604,0.0009604
14,344.285,1.09124,1.44194,0.91808,0.92913,0.93649,0.96072,0.67251,1.03138,1.36074,0.89178,0.0009571,0.0009571,0.0009571
15,369.182,1.03062,1.33831,0.90653,0.84744,0.90852,0.91244,0.66009,1.00769,1.42203,0.87361,0.0009538,0.0009538,0.0009538
16,394.313,1.02837,1.28647,0.89655,0.92351,0.93972,0.96227,0.69656,1.03998,1.21726,0.87966,0.0009505,0.0009505,0.0009505
17,418.986,1.00443,1.2864,0.90841,0.92231,0.95717,0.96597,0.68166,1.0169,1.20403,0.88015,0.0009472,0.0009472,0.0009472
18,439.966,0.90323,1.77119,0.83883,0.88185,0.95761,0.94321,0.6943,0.96312,1.21036,0.86273,0.0009439,0.0009439,0.0009439
19,461.316,1.04317,1.24678,0.88784,0.88563,0.95433,0.97044,0.69299,1.0281,1.12317,0.8668,0.0009406,0.0009406,0.0009406
20,482.324,0.97283,1.1667,0.87468,0.89442,0.94533,0.95856,0.70456,0.97186,1.16128,0.86535,0.0009373,0.0009373,0.0009373
21,503.482,0.95808,1.20017,0.87398,0.89538,0.96505,0.95281,0.69455,0.95265,1.06766,0.86505,0.000934,0.000934,0.000934
22,524.671,0.95125,1.10333,0.88954,0.91656,0.96301,0.95962,0.69398,0.97611,1.05007,0.86388,0.0009307,0.0009307,0.0009307
23,545.847,0.92662,1.05529,0.87648,0.90747,0.97308,0.97553,0.6725,1.11597,1.06541,0.90081,0.0009274,0.0009274,0.0009274
24,567.205,1.00209,1.08077,0.9037,0.87189,0.9547,0.98227,0.70351,1.00253,1.2261,0.86191,0.0009241,0.0009241,0.0009241
25,588.515,0.99209,1.04029,0.88579,0.91006,0.9551,0.9747,0.6577,1.15167,1.06904,0.90239,0.0009208,0.0009208,0.0009208
26,609.885,1.00502,1.08514,0.89437,0.85954,0.98415,0.97215,0.72307,0.95536,1.01584,0.85577,0.0009175,0.0009175,0.0009175
27,631.223,0.85165,1.15518,0.81397,0.93563,0.97449,0.97633,0.73293,0.95221,0.90076,0.8552,0.0009142,0.0009142,0.0009142
28,652.471,0.94011,0.98125,0.86532,0.92365,0.94577,0.97167,0.69362,1.04189,1.02158,0.87182,0.0009109,0.0009109,0.0009109
29,673.851,0.93197,0.965,0.87806,0.91123,0.98037,0.96802,0.71082,1.00145,0.90454,0.87404,0.0009076,0.0009076,0.0009076
30,695.163,0.95989,0.934,0.87159,0.90463,1,0.96596,0.70748,0.97963,0.87932,0.87339,0.0009043,0.0009043,0.0009043
31,716.159,0.92453,0.89857,0.87494,0.92506,0.99325,0.96479,0.72009,0.94951,0.8679,0.86716,0.000901,0.000901,0.000901
32,737.235,0.92265,0.86318,0.8761,0.88986,0.95515,0.94764,0.70584,0.95878,1.0233,0.86695,0.0008977,0.0008977,0.0008977
33,758.334,0.8956,0.87749,0.85547,0.915,0.97697,0.97168,0.73147,0.96157,0.89416,0.86737,0.0008944,0.0008944,0.0008944
34,779.403,0.96395,0.94645,0.89991,0.93508,0.98027,0.97139,0.73921,0.92771,0.85648,0.8637,0.0008911,0.0008911,0.0008911
35,800.68,0.93012,0.9169,0.88042,0.92657,0.9727,0.97308,0.71272,0.95286,0.86787,0.87201,0.0008878,0.0008878,0.0008878
36,821.726,0.98819,0.87745,0.89431,0.91522,0.97645,0.96973,0.71915,0.9721,0.8577,0.86839,0.0008845,0.0008845,0.0008845
37,842.769,0.92459,0.85102,0.84105,0.91555,0.98301,0.96828,0.71659,0.92862,0.82655,0.85437,0.0008812,0.0008812,0.0008812
38,863.913,0.85502,0.82851,0.8709,0.91359,0.97859,0.96993,0.72122,0.9209,0.81364,0.84925,0.0008779,0.0008779,0.0008779
39,885.116,0.87408,0.83939,0.86764,0.96056,0.98639,0.98505,0.74596,0.89942,0.77724,0.85458,0.0008746,0.0008746,0.0008746
40,906.921,0.8322,0.8406,0.87026,0.92468,0.99716,0.97691,0.72914,0.95084,0.78149,0.85735,0.0008713,0.0008713,0.0008713
41,929.367,0.88633,0.83982,0.86983,0.93442,0.97552,0.9756,0.73582,0.96304,0.83279,0.86594,0.000868,0.000868,0.000868
42,951.696,0.83801,0.87695,0.8128,0.93341,0.98592,0.9751,0.72761,0.91974,0.76973,0.85084,0.0008647,0.0008647,0.0008647
43,974.063,0.94621,0.82301,0.87461,0.94498,0.97296,0.97419,0.72058,0.97995,0.76719,0.86338,0.0008614,0.0008614,0.0008614
44,999.069,0.93261,0.80432,0.86107,0.9525,0.97069,0.98098,0.66602,1.12702,0.77722,0.91005,0.0008581,0.0008581,0.0008581
45,1026.52,0.97277,0.87004,0.86179,0.92038,0.99027,0.97947,0.7303,0.94591,0.78519,0.86024,0.0008548,0.0008548,0.0008548
46,1052.79,0.85784,0.77927,0.86677,0.92197,0.99582,0.97824,0.74332,0.9586,0.72977,0.86749,0.0008515,0.0008515,0.0008515
47,1079.49,0.83162,0.74069,0.87043,0.93398,0.96965,0.98054,0.71125,0.99525,0.75686,0.87837,0.0008482,0.0008482,0.0008482
48,1105.68,0.87974,0.81171,0.86653,0.92704,0.99766,0.97662,0.72223,0.95011,0.73496,0.85998,0.0008449,0.0008449,0.0008449
49,1128.26,0.87476,0.74276,0.87033,0.94581,0.97688,0.97668,0.72568,0.94109,0.74484,0.85827,0.0008416,0.0008416,0.0008416
50,1149.09,0.86169,0.76416,0.87115,0.9297,0.98461,0.9802,0.72994,0.9382,0.74904,0.85413,0.0008383,0.0008383,0.0008383
51,1170.16,0.8864,0.74481,0.86867,0.9412,0.96678,0.97818,0.74831,0.8963,0.70438,0.85345,0.000835,0.000835,0.000835
