epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,881.759,0.83577,0.82718,0.85216,0.83726,0.90537,0.95111,0.73896,0.83364,1.06007,0.84663,0.00079705,0.00079705,0.00079705
43,903.171,0.86156,0.83258,0.85308,0.80953,0.92912,0.95376,0.7426,0.86673,1.07102,0.85192,0.0007921,0.0007921,0.0007921
44,924.444,0.85852,0.80145,0.86313,0.94246,0.94166,0.97409,0.74691,0.84955,0.79073,0.84252,0.00078715,0.00078715,0.00078715
45,945.842,0.82039,0.78502,0.85915,0.92867,0.94501,0.97385,0.75742,0.80545,0.79794,0.83815,0.0007822,0.0007822,0.0007822
46,967.104,0.86681,0.83163,0.86807,0.93934,0.95849,0.98376,0.73486,0.90353,0.76639,0.84867,0.00077725,0.00077725,0.00077725
47,988.355,0.85096,0.79335,0.85544,0.97728,0.95831,0.99219,0.76098,0.85629,0.73504,0.84658,0.0007723,0.0007723,0.0007723
48,1009.81,0.85596,0.77521,0.8497,0.95188,0.97369,0.98879,0.76021,0.87947,0.74548,0.84972,0.00076735,0.00076735,0.00076735
49,1031.11,0.81726,0.75423,0.85664,0.95562,0.96958,0.98373,0.77938,0.80184,0.69759,0.83908,0.0007624,0.0007624,0.0007624
50,1052.27,0.78242,0.73592,0.8464,0.94729,0.96533,0.97708,0.77444,0.80077,0.73742,0.84349,0.00075745,0.00075745,0.00075745
51,1073.57,0.82472,0.75479,0.85452,0.92455,0.93624,0.97605,0.75593,0.83149,0.82067,0.85721,0.0007525,0.0007525,0.0007525
52,1094.66,0.8322,0.7247,0.86483,0.95619,0.92097,0.97919,0.76519,0.81848,0.71951,0.84261,0.00074755,0.00074755,0.00074755
53,1115.77,0.82037,0.70899,0.85186,0.94787,0.93753,0.98023,0.76737,0.81503,0.70236,0.84164,0.0007426,0.0007426,0.0007426
54,1137.04,0.79576,0.69383,0.84755,0.89396,0.92677,0.97163,0.75119,0.82886,0.74525,0.84567,0.00073765,0.00073765,0.00073765
55,1158.12,0.76783,0.67247,0.83185,0.92998,0.92692,0.97405,0.76395,0.83676,0.73851,0.83959,0.0007327,0.0007327,0.0007327
56,1179.33,0.80169,0.68274,0.85139,0.96041,0.98621,0.98941,0.79079,0.81318,0.66125,0.84208,0.00072775,0.00072775,0.00072775
57,1200.6,0.78036,0.67706,0.8403,0.92382,0.96045,0.98088,0.77075,0.81739,0.71757,0.83622,0.0007228,0.0007228,0.0007228
58,1221.75,0.76277,0.67978,0.83783,0.95505,0.95752,0.99115,0.77678,0.79705,0.64911,0.83384,0.00071785,0.00071785,0.00071785
59,1242.89,0.74625,0.6975,0.83378,0.95835,0.93139,0.98659,0.76901,0.81388,0.67323,0.84232,0.0007129,0.0007129,0.0007129
60,1264.33,0.78647,0.67537,0.84726,0.90976,0.9549,0.98765,0.75661,0.83746,0.71647,0.84925,0.00070795,0.00070795,0.00070795
61,1285.49,0.78109,0.65412,0.8525,0.93407,0.98277,0.98494,0.78609,0.82326,0.65083,0.8426,0.000703,0.000703,0.000703
62,1306.87,0.78567,0.66766,0.85462,0.96367,0.93717,0.98073,0.77594,0.82564,0.64739,0.83936,0.00069805,0.00069805,0.00069805
63,1328.17,0.76486,0.63943,0.8311,0.94679,0.96013,0.98506,0.77705,0.80122,0.63726,0.83513,0.0006931,0.0006931,0.0006931
64,1349.45,0.79496,0.64874,0.85491,0.95687,0.96672,0.98966,0.77785,0.80789,0.62212,0.83953,0.00068815,0.00068815,0.00068815
65,1370.76,0.76847,0.64254,0.82799,0.92422,0.94322,0.98458,0.76834,0.81411,0.69658,0.83473,0.0006832,0.0006832,0.0006832
66,1392.02,0.75134,0.62475,0.83946,0.95494,0.87837,0.98208,0.77752,0.82129,0.74604,0.83594,0.00067825,0.00067825,0.00067825
