epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2135,1.90387,11.6106,1.1586,0,0,0,0,3.1823,13.0986,1.58096,0.00014,0.00014,0.07214
2,53.6024,1.54191,7.85092,0.97296,0,0,0,0,1.45423,12.1199,0.81444,0.000284983,0.000284983,0.043285
3,79.7522,1.43972,6.35265,0.89184,0,0,0,0,1.41874,10.0508,0.83809,0.000429899,0.000429899,0.0144299
4,106.882,1.41189,5.51508,0.8976,0.05556,0.0119,0.00417,0.00208,1.26102,7.14267,0.82318,0.000499736,0.000499736,0.000499736
5,132.707,1.41124,5.15587,0.86987,0.4951,0.21925,0.15044,0.08454,1.38916,5.46486,0.87116,0.000499531,0.000499531,0.000499531
6,158.39,1.32701,4.57273,0.85133,0.57593,0.4375,0.32427,0.2054,1.31288,4.5301,0.84176,0.000499268,0.000499268,0.000499268
7,184.392,1.30671,4.35656,0.8513,0.49688,0.66558,0.49106,0.29587,1.30008,4.18168,0.8316,0.000498946,0.000498946,0.000498946
8,210.661,1.23403,4.24369,0.82845,0.63485,0.61531,0.55663,0.36405,1.23978,3.83201,0.80121,0.000498566,0.000498566,0.000498566
9,236.542,1.2027,3.97725,0.82965,0.544,0.70308,0.56064,0.34947,1.23721,3.99782,0.80923,0.000498127,0.000498127,0.000498127
10,262.514,1.22345,3.54127,0.83568,0.64164,0.71447,0.64056,0.42825,1.20426,3.77573,0.8064,0.000497631,0.000497631,0.000497631
11,289.351,1.1784,3.3349,0.83039,0.76917,0.75535,0.73967,0.4761,1.21464,3.2147,0.79358,0.000497076,0.000497076,0.000497076
12,316.073,1.12575,3.1718,0.79941,0.80604,0.90385,0.89673,0.60051,1.12164,2.69856,0.77652,0.000496463,0.000496463,0.000496463
13,342.815,1.18422,3.02763,0.80056,0.79781,0.94432,0.90136,0.60653,1.12295,2.66966,0.78026,0.000495793,0.000495793,0.000495793
14,369.08,1.0692,2.89105,0.79115,0.79696,0.93007,0.91384,0.62823,1.06295,2.53867,0.76573,0.000495065,0.000495065,0.000495065
15,395.245,1.10022,2.78955,0.7976,0.85451,0.91127,0.92764,0.63098,1.14628,2.52303,0.76916,0.00049428,0.00049428,0.00049428
16,422.061,1.05192,2.56883,0.79023,0.88619,0.93806,0.94202,0.6648,1.06003,2.31125,0.75134,0.000493438,0.000493438,0.000493438
17,447.65,1.13582,2.57017,0.81974,0.88159,0.94524,0.91819,0.64497,1.06988,2.3776,0.7538,0.000492539,0.000492539,0.000492539
18,473.524,0.99385,2.45452,0.74975,0.89669,0.95939,0.96033,0.67314,1.02245,2.23095,0.74353,0.000491582,0.000491582,0.000491582
19,500.152,1.01398,2.39673,0.77269,0.88574,0.97032,0.97504,0.67559,1.04163,2.24897,0.74074,0.00049057,0.00049057,0.00049057
20,526.46,1.03544,2.31419,0.79009,0.89258,0.95808,0.96168,0.67819,1.0272,2.0618,0.7485,0.000489501,0.000489501,0.000489501
21,552.433,1.03166,2.25306,0.79048,0.90281,0.91661,0.94348,0.67695,1.02456,2.04477,0.75257,0.000488376,0.000488376,0.000488376
22,577.432,0.98602,2.20802,0.76799,0.89531,0.97593,0.96085,0.68346,1.02622,2.10349,0.74702,0.000487195,0.000487195,0.000487195
23,603.067,0.98425,2.10977,0.7677,0.89131,0.97741,0.95294,0.68711,1.02164,1.99239,0.73573,0.000485959,0.000485959,0.000485959
24,629.411,1.04181,2.23753,0.78397,0.91355,0.97044,0.95961,0.68429,1.01926,1.95796,0.73921,0.000484668,0.000484668,0.000484668
25,655.71,0.98225,2.07733,0.7545,0.94233,0.95451,0.9422,0.68587,0.9942,1.88172,0.72959,0.000483322,0.000483322,0.000483322
26,681.907,0.96007,2.12562,0.74808,0.92767,0.97004,0.97159,0.69886,0.99043,1.85167,0.73865,0.000481921,0.000481921,0.000481921
27,710.101,0.92699,1.83333,0.74127,0.93493,0.98522,0.97381,0.70649,0.96184,1.74544,0.73139,0.000480467,0.000480467,0.000480467
28,736.451,0.95813,1.96427,0.74766,0.93302,0.988,0.97907,0.69273,1.02044,1.79807,0.73763,0.000478958,0.000478958,0.000478958
29,762.792,0.91494,1.9499,0.72414,0.8878,0.99152,0.97138,0.68291,1.02924,1.83545,0.74032,0.000477396,0.000477396,0.000477396
30,789.517,0.97899,1.87057,0.7572,0.95118,0.96755,0.96923,0.69044,1.0028,1.75545,0.73022,0.000475782,0.000475782,0.000475782
31,816.806,0.90855,1.88072,0.74943,0.93965,0.98751,0.98682,0.71301,0.99766,1.71919,0.73421,0.000474114,0.000474114,0.000474114
32,842.84,0.90142,1.75403,0.74888,0.93333,0.99206,0.97703,0.71886,0.94917,1.71523,0.71731,0.000472394,0.000472394,0.000472394
33,869.785,0.97661,1.94971,0.72808,0.91841,0.9881,0.97013,0.69016,0.9986,1.67169,0.73133,0.000470623,0.000470623,0.000470623
34,896.257,1.02414,1.878,0.77966,0.91917,0.95657,0.9497,0.68158,0.95864,1.76225,0.72669,0.0004688,0.0004688,0.0004688
35,923.388,0.93789,1.77753,0.72361,0.92048,0.98572,0.98482,0.70114,0.98262,1.8011,0.72897,0.000466926,0.000466926,0.000466926
36,950.703,0.95453,1.79577,0.75311,0.93518,0.98082,0.98389,0.71945,0.95414,1.724,0.72073,0.000465002,0.000465002,0.000465002
37,976.73,0.94232,1.741,0.73857,0.92378,0.98406,0.98517,0.72258,0.9614,1.6658,0.72211,0.000463028,0.000463028,0.000463028
38,1003.95,0.94235,1.75711,0.7525,0.94389,0.99079,0.9757,0.70367,0.95646,1.63436,0.7203,0.000461004,0.000461004,0.000461004
39,1030.67,0.87378,1.6354,0.73324,0.92405,0.98135,0.97011,0.712,0.9434,1.62499,0.715,0.000458932,0.000458932,0.000458932
40,1056.71,0.9162,1.64337,0.74491,0.94445,0.97795,0.97089,0.71867,0.9203,1.60531,0.70983,0.000456811,0.000456811,0.000456811
41,1084.49,0.90457,1.68335,0.73375,0.94586,0.99044,0.97826,0.70227,0.99151,1.68159,0.72642,0.000454642,0.000454642,0.000454642
42,1111.34,0.92916,1.6975,0.74551,0.93223,0.99946,0.97534,0.70051,0.94868,1.79229,0.71429,0.000452425,0.000452425,0.000452425
43,1140.8,0.87698,1.62493,0.7275,0.93846,0.99814,0.97873,0.699,1.02007,1.68161,0.73391,0.000450162,0.000450162,0.000450162
44,1169.74,0.89882,1.67383,0.72754,0.93277,0.99727,0.97481,0.71947,0.95049,1.62129,0.71649,0.000447852,0.000447852,0.000447852
45,1196.24,0.87796,1.60722,0.73592,0.92881,0.99363,0.97184,0.68871,1.00521,1.71085,0.73052,0.000445497,0.000445497,0.000445497
46,1222.7,0.87413,1.5533,0.71961,0.94196,0.99739,0.966,0.71402,0.9229,1.66351,0.71473,0.000443096,0.000443096,0.000443096
47,1249.52,0.88424,1.53239,0.74237,0.93115,0.99609,0.96386,0.71576,0.9272,1.5331,0.71043,0.000440651,0.000440651,0.000440651
