epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6663,2.76401,6.14468,1.70009,0.00018,0.03301,0.003,0.00067,1.19908,4.74717,0.96522,0.00013,0.00013,0.00013
2,77.4177,1.42525,4.23929,0.97445,0.00615,0.76163,0.09571,0.04209,1.16456,4.53626,0.90899,0.000268663,0.000268663,0.000268663
3,120.35,1.37184,3.33186,0.93739,0.00444,0.8355,0.10686,0.03276,1.17469,4.46397,0.94213,0.000405941,0.000405941,0.000405941
4,163.01,1.34624,2.8931,0.94274,0.006,0.6875,0.1285,0.07119,1.05633,4.31921,0.90232,0.000541832,0.000541832,0.000541832
5,205.526,1.18715,2.37936,0.92172,0.00578,0.58415,0.27239,0.18502,1.01488,4.16934,0.88695,0.000676338,0.000676338,0.000676338
6,247.86,1.14934,2.19206,0.90985,0.8705,0.0966,0.48244,0.28333,1.10655,3.86128,0.93199,0.000809458,0.000809458,0.000809458
7,290.243,1.12853,1.95913,0.89969,0.95687,0.15476,0.73153,0.47112,1.09102,3.56318,0.96825,0.000941191,0.000941191,0.000941191
8,332.322,1.13708,1.84219,0.91788,0.79251,0.53313,0.76766,0.53858,1.01593,3.111,0.93288,0.00096535,0.00096535,0.00096535
9,374.709,1.05682,1.67687,0.89352,0.79139,0.64764,0.8617,0.59501,1.07381,2.93787,1.00169,0.0009604,0.0009604,0.0009604
10,417.273,1.05428,1.6597,0.90787,0.79192,0.77676,0.89366,0.62612,1.06614,2.09859,0.98359,0.00095545,0.00095545,0.00095545
11,459.108,1.06259,1.52014,0.90716,0.65987,0.75196,0.7717,0.52218,1.10672,2.19081,0.98602,0.0009505,0.0009505,0.0009505
12,484.949,1.05694,1.50981,0.87767,0.79503,0.73919,0.86447,0.58059,1.13847,2.02225,1.03368,0.00094555,0.00094555,0.00094555
13,513.293,0.99521,1.42997,0.88973,0.87491,0.75277,0.90989,0.64099,1.10236,1.84212,1.04032,0.0009406,0.0009406,0.0009406
14,541.594,1.02642,1.42817,0.88898,0.8628,0.764,0.89146,0.62329,1.09204,1.91407,1.02432,0.00093565,0.00093565,0.00093565
15,569.808,0.98818,1.37853,0.88991,0.84222,0.84252,0.97053,0.71036,1.05497,1.55738,0.98925,0.0009307,0.0009307,0.0009307
16,598.511,0.96514,1.27874,0.87637,0.90778,0.82845,0.97593,0.67899,1.0732,1.48003,1.00242,0.00092575,0.00092575,0.00092575
17,627.016,1.01372,1.25059,0.88363,0.82898,0.81574,0.95182,0.67749,1.08668,1.58622,0.99552,0.0009208,0.0009208,0.0009208
18,654.962,1.03112,1.26675,0.89542,0.82568,0.84453,0.9398,0.66604,1.02812,1.42358,0.97058,0.00091585,0.00091585,0.00091585
19,682.95,1.00854,1.1891,0.88319,0.92899,0.86882,0.97959,0.71691,0.98295,1.2582,0.95857,0.0009109,0.0009109,0.0009109
20,711.488,0.93667,1.14916,0.87112,0.83696,0.84658,0.94578,0.66494,1.06917,1.45102,0.98803,0.00090595,0.00090595,0.00090595
21,739.744,0.99275,1.17023,0.88907,0.84512,0.91494,0.98035,0.72846,1.01457,1.31434,0.96961,0.000901,0.000901,0.000901
22,768.174,0.93486,1.14586,0.87613,0.93096,0.95133,0.97473,0.73525,0.97589,1.1883,0.96629,0.00089605,0.00089605,0.00089605
23,796.222,0.93133,1.03811,0.86564,0.89938,0.88052,0.93226,0.7071,0.99762,1.23158,0.958,0.0008911,0.0008911,0.0008911
24,824.479,0.94067,1.02291,0.87248,0.93111,0.88297,0.96064,0.6997,0.99041,1.16316,0.95928,0.00088615,0.00088615,0.00088615
25,852.478,0.93991,1.03826,0.87058,0.88879,0.88142,0.95061,0.70973,1.00552,1.21976,0.96771,0.0008812,0.0008812,0.0008812
